run,temp,temppoor,temp2,temp2poor,prec,precpoor,prec2,prec2poor
987,.0078239,.0354807,-.0002045,-.0007909,-5.17e-08,.000031,-2.08e-09,-1.02e-08
988,.0073671,-.0149077,-.0001938,.0000329,.0000219,.0000391,-6.34e-09,-1.20e-08
989,.0038242,.013016,.0000514,-.000654,-1.07e-06,.0000369,2.60e-09,-8.74e-09
990,.0199421,.026634,-.0005972,-.0009619,.0000243,.0000245,-8.62e-09,-6.52e-09
991,.0137608,-.0066127,-.0006058,-.0001573,3.42e-06,5.86e-06,-3.17e-09,-2.64e-09
992,.0092654,.0287992,-.0004172,-.0009043,.0000101,.0000303,-4.37e-09,-7.54e-09
993,.0043925,.0191407,-.0001735,-.0007067,.0000104,.000014,-1.45e-09,-5.93e-09
994,.00988,.0183445,-.0001665,-.0004186,-.0000125,.0000485,-4.90e-10,-1.31e-08
995,.0121858,.0490568,-.0003519,-.0013204,-3.82e-06,.0000184,-5.04e-11,-6.39e-09
996,.0129568,.028254,-.0005408,-.0009527,.0000153,.0000191,-5.41e-09,-4.29e-09
997,.0092948,-.0025711,-.0003873,-.0003517,-7.27e-06,.0000152,-7.73e-10,-4.97e-09
998,.0118898,.0235752,-.000601,-.0007308,.0000234,.0000342,-6.60e-09,-9.90e-09
999,.0157929,.0170785,-.0004059,-.0007492,.0000204,.0000312,-3.37e-09,-1.01e-08
1000,.0043896,-.0020346,-.000177,-.0001927,.0000183,.0000297,-7.07e-09,-6.95e-09
