run,temp,temppoor,L1temp,L1temppoor,L2temp,L2temppoor,L3temp,L3temppoor,L4temp,L4temppoor,L5temp,L5temppoor,temp2,temp2poor,L1temp2,L1temp2poor,L2temp2,L2temp2poor,L3temp2,L3temp2poor,L4temp2,L4temp2poor,L5temp2,L5temp2poor,tlin,tlinpoor,tsq,tsqpoor
871,.0075247,-.0228363,-.0065857,.0034598,-.0037602,-.0502348,-.0037487,.0197468,.0003327,-.0122922,-.000627,-.0022763,-.0003025,.0001278,.0002594,.0001121,.0001111,.00091,.0001064,-.0005498,-.0000707,.0003667,.0001323,.0000137,-.0068641,-.0644332,.000236,.0009805
872,.0082825,-.0018174,-.0165433,-.0146042,-.0113625,.0031229,-.0067595,.0006505,-.0017106,.0201913,.0096836,-.002538,-.000584,-.0002225,.0006779,.0004046,.0003278,-.0000331,2.06e-06,-.0000852,1.94e-06,-.0004059,-.0002805,-1.88e-06,-.0184097,.005005,.0001451,-.000344
873,.0088993,.0125547,-.0077906,.0053725,-.0065003,-.0071913,-.0049603,.0183967,-.0079039,.010266,.0053546,.0058177,-.0004779,-.000424,.0002501,3.60e-06,.0002292,.0001495,.0001444,-.0005387,.0002822,-.000117,-.0000411,-.0001636,-.0129012,.0452163,.0003868,-.0010901
874,.0050028,.0022162,-.0075369,-.0073001,-.0008945,-.019138,-.0050172,.0018021,-.0002659,.005311,.0068421,.0070862,-.0002089,-.000518,.0003164,.0002472,-.0000785,.0003271,.0001954,-.0001195,.0001067,-.0000169,-.000222,-.000182,-.0018695,-.0100225,.0001091,-.0002621
875,.0117941,.006771,-.0053989,.0039118,-.0035241,-.0293327,-.0128977,-.0070391,.0054159,.0064215,-.0001089,.0069799,-.0005296,-.0004754,.0002782,.000114,.0000249,.0005568,.00053,.0000249,-.0000907,-7.17e-06,.000097,-.0002225,-.0047195,-.0122876,.0003098,-9.40e-06
876,.0154839,-.0013935,-.0094645,-.0009741,-.0079987,-.0225271,.0003414,.0024536,-.0072305,.0013263,.0005856,.0122387,-.0007633,-.0003491,.0004429,.0000885,.0003942,.0005372,-.0001518,-.0001378,.0002775,.0000745,.0001153,-.0002419,-.0082828,-.0088761,.0003148,-.0000285
877,.0164781,.0201421,-.0123441,-.0171618,-.0112099,.0023865,.0001051,-.0038374,.0045123,.0226925,.0073902,.0026718,-.0008073,-.0007029,.0004704,.0005968,.0003081,-.0001062,-.0002598,-.0000369,-.0002013,-.0004913,-.0001327,-.0000522,.0049317,.0268938,-.0006226,-.0007926
878,.0057195,-.0042061,-.0165348,-.0054425,-.0111666,-.030457,-.0077309,.0026263,.0007885,-.0017627,.0105883,.0110609,-.0003602,-.000132,.0005177,.0003306,.0002756,.0005704,.0000728,-.0002116,-.0001147,.0000755,-.0002827,-.0003539,-.018336,-.0281812,.0001084,.000279
879,.0061893,.0028708,-.011443,-.002425,-.0110537,-.0037263,.0003518,.0071009,-.000569,.0085109,.0003916,.0059757,-.0002101,-.0002177,.0004532,.0002251,.0003294,.0001514,-.0002183,-.0002486,-.0000455,.0000375,-.0000323,-.0002108,-.0161329,.0183069,.0002764,-.0002631
880,.0054688,.0076446,-.0107647,-.0111469,-.0032501,-.0108086,-.0050761,-.0044363,-.0053449,.0033345,.0038378,.0125857,-.0002998,-.0003262,.000467,.0003744,.0001468,.0001578,.0001534,.0000382,.0002995,.0001043,-.0002519,-.0002594,-.0151291,-.002827,.000515,.0000891
