run,temp,L1temp,L2temp,L3temp,L4temp,L5temp,temp2,L1temp2,L2temp2,L3temp2,L4temp2,L5temp2,tlin,tsq
880,.0061025,-.0091647,-.0032248,-.0039001,-.0045263,.0035948,-.0003055,.0003733,.0000857,.000057,.000282,-.0001606,-.0111185,.0003318
881,.0104003,-.0062397,-.0115811,-.0002229,-.0009273,.0080644,-.0005475,.0002053,.0002687,-.000145,.0001934,-.0002067,-.0005063,-.0002319
882,.0119475,-.0066826,-.007449,-.0043673,.0009781,-.0004302,-.0006102,.0003213,.0001549,.0000843,.0000138,.0000252,-.0060035,-.0000108
883,.0093808,-.0108637,-.0074501,-.0021211,-.0022957,.0099362,-.000575,.000448,.0002261,-.0001214,.0002078,-.0002368,-.0034137,-.0000514
884,.0063372,-.0081081,-.0041218,-.0026021,-.004634,.0074099,-.0002822,.0002967,.0000619,-.0001489,.0002735,-.0003175,-.0057188,-.0001165
885,.0140215,-.0026448,-.0044946,-.0023803,-.0019418,-.000198,-.0005641,.0000959,.000152,.0000108,.0001812,.000015,.0023621,-.0001092
886,.0100673,-.0077601,-.0093814,-.0013773,.0001467,.0094305,-.0004716,.0003374,.0000945,-.0000712,.0001525,-.0002891,.0011257,-.0002475
887,.0090624,-.0086606,-.0057229,-.0040386,-.0009779,.005809,-.0005104,.0003433,.0001854,-7.18e-06,.0000615,-.0001153,-.0045287,-.0000426
888,.0082267,-.0039738,.002002,-.0005138,-.0003796,-.0034294,-.0003911,.0002089,-.0001069,-.0000949,.0000819,.0000584,.0019321,-.0002437
889,.0154123,-.0026402,-.0042069,-.0018018,.0025341,-.0015977,-.0005743,.0002001,.000064,.0000247,4.55e-06,.0000105,.0076997,-.0002705
890,.0245583,-.0124998,-.0098118,-.0032,.0011834,.0089278,-.0007879,.0004539,.0001023,-.0000985,-.0000896,-.0002788,.0091578,-.0006987
891,.0069822,-.0069114,-.0111251,-.0016147,-.0059611,.0033205,-.00048,.0002681,.0002181,-.0001064,.0002263,7.92e-06,-.0153096,.000134
892,.0060366,-.0070844,-.0069044,-.0023917,-.0043202,.0017982,-.0004011,.000353,.000117,.0000181,.0002296,-.0000345,-.0128659,.000282
893,.0073532,-.0039599,-.006674,-.0038077,-.0026431,.00483,-.0004041,.0001666,.0000571,.0000967,.0001348,-.0001126,-.0049015,-.0000614
894,.0094152,-.0038063,-.0100193,-.0055768,.001945,.0043927,-.0005484,.0003007,.0002472,.0000991,-.0000784,-.0001266,-.0036495,-.0001064
895,.0083294,-.0094305,-.0150423,-.0002368,-.0034947,.0149905,-.0005232,.0003531,.0003014,-.0001945,.0001662,-.0005698,-.0048844,-.0004668
896,.0099166,.0011953,-.0093795,-.0005474,-.0017653,-.0011645,-.0004934,.0000142,.000188,-.0000812,.0001249,.0000402,-.0017447,-.0002073
897,.0037234,-.0059661,-.009386,.001875,-.0018421,.005003,-.0003026,.0001629,.0001972,-.0001634,.0000343,-.0001624,-.0065928,-.0002341
898,.010068,-.0064444,-.0079051,-.0029197,.0015115,.0055542,-.0005742,.000318,.0001617,.0000105,.0000624,-.0001808,-.0001355,-.0002024
899,.0081451,-.0040549,-.0103453,.0030662,-.0004434,.0023433,-.0003432,.0001967,.0002338,-.0001637,.0001394,-.0001626,-.001289,-.0000995
900,.0081427,-.0032589,-.006527,.0014118,-.0034195,-.007236,-.0004616,.0001585,.0001594,-.0001352,.0000729,.0002288,-.010887,.0000228
901,.0075262,-.0058972,-.0045986,.0047777,-.0006189,.0061231,-.0003113,.0002226,.0000732,-.0002872,.0000602,-.0002069,.0073122,-.0004494
902,.0067476,-.0046412,-.0012354,-.0021285,-.0023406,-.0014963,-.0003328,.0003235,-.0000108,-.0000244,.0001621,.0000387,-.0050943,.0001563
903,.0114335,-.0015663,-.005599,.0041219,-.0019976,.001675,-.0005136,.0001869,-.0000123,-.0002225,.0001451,-.0000559,.0080675,-.0004722
904,.0160945,-.0012085,-.0046453,.0018154,.0002716,.0018693,-.000623,.0001489,.0001245,-.0001516,.0001587,-.0000711,.0141969,-.0004135
905,.0133127,-.009368,-.0066717,-.0059416,.0021211,.0093606,-.0004979,.000362,.0000535,-.000013,.0000335,-.0002802,.002813,-.000342
906,.0139667,-.0014538,-.0033833,.0016695,-.0012214,-.0086631,-.0005962,.0000767,.0001388,-.0001777,.0001344,.0002499,.0009145,-.0001741
907,.0092922,.0018509,-.0027473,-.0018268,.0005603,.0033995,-.0003934,.0000945,.0001611,-.0000152,.0000496,-.0000491,.0105288,-.0001525
908,.008996,-.0032343,-.0075142,.0035941,-.0036936,-.0046114,-.0004358,.0002191,.0002107,-.0002853,.000174,.0000949,-.0064633,-.0000223
909,.0153425,-.0049566,-.0091254,-.0042098,-.0007296,.0027801,-.0005612,.0002744,.0002392,-4.48e-06,.0001032,-.0001208,-.0008987,-.0000696
910,.0071947,-.0064277,-.0089616,-.0012224,-.0061078,-.0007773,-.0005128,.000284,.0001726,-.0001085,.0002538,.0000516,-.0163021,.0001406
911,.0070889,-.002167,-.0069197,-.0023664,-.0016223,-.0061426,-.0004386,.0001145,.0001563,-.0000677,.0000867,.0001773,-.0121291,.0000285
912,.0078848,-.0068501,-.0054606,-.0037092,-.0016469,.0053777,-.0003819,.0003108,.0001267,5.87e-06,.0000602,-.0001035,-.0044043,.0000181
913,.0112904,-.0054225,-.0113008,-.0020629,.0010302,.0058701,-.000556,.0003031,.0002619,-.0000776,.0000466,-.0001684,-.0005954,-.0001904
914,.0063825,-.0083829,.0000735,.0024165,.0022244,.0019692,-.0004028,.0003628,-.0000643,-.0002381,-.0000305,-.0000603,.0046832,-.0004332
915,.0099622,-.0066704,-.0070942,.0010647,-.0037368,.0065883,-.0004583,.0002072,.0002131,-.0001704,.0002676,-.0002856,.0001139,-.0002264
916,.0111137,-.0048849,-.0069204,-.0015152,-.0014729,.0001789,-.0005332,.0002122,.0001478,-.0001281,.0000756,-.0000227,-.0035009,-.0002483
917,.0091952,-.0019782,-.0054967,-.0017124,-.0009591,-.0030769,-.000452,.0001762,.0000253,-.0000138,.0000876,.0000344,-.0040283,-.0001422
918,.0135344,-.000868,-.00383,-.0003927,.0029331,-.0037909,-.0006585,.0001356,.0000831,-.0001077,.0000475,.0000827,.0075859,-.0004174
919,.0125819,-.0069634,-.0063785,-.0015001,-.0008416,.0040022,-.0006189,.0002642,.0000946,-.0001411,.0001311,-.0001481,.0009006,-.0004183
920,.0100237,-.0027122,-.0036493,-.0011357,-.0019161,.0013513,-.00052,.0001308,.0000527,-.0000969,.0001662,-.0001231,.0019617,-.0003903
921,.0063374,-.0054648,-.0030985,.0061683,-.0035541,.0072883,-.0004395,.0002943,.0000154,-.0003091,.0001183,-.0002674,.0076766,-.000588
922,.0020083,-.0088857,-.0062268,.0016541,-.00249,.0047532,-.0002344,.0002875,.0001003,-.0001596,.0001031,-.0001857,-.0091869,-.0000887
923,.0054172,-.0049885,-.0022149,-.0004253,-.0041499,.0021622,-.0003104,.0002556,.0000444,-.000087,.0002631,-.0000979,-.0041991,.0000677
924,.005387,-.0060518,-.000933,.00094,.0010043,.0067949,-.0003529,.0002999,-.0000139,-.0000678,-.0000114,-.0002427,.0071414,-.0003888
925,.0079938,-.0099884,-.0047052,-.0041566,-.0040542,-.0006017,-.000507,.0004044,.0001477,.0000126,.0001812,.0000414,-.0155123,.0002802
926,.0087618,-.0051216,-.0025139,.0001098,-.0034632,-.0004471,-.0003973,.0003042,.0000715,-.0001492,.0001896,-.000016,-.0026742,2.75e-06
927,.0163179,-.006779,-.0028806,-.0026716,-.0009538,.0013917,-.000756,.0003563,.0000333,2.47e-06,.0000878,.0000675,.0044246,-.0002087
928,.0135433,-.0078407,-.0166698,-4.60e-06,-.0056302,.0061967,-.0005997,.0003617,.0004562,-.0002166,.0002507,-.0001646,-.0104053,.0000877
929,.0095659,-.0021647,-.0071046,.0032547,-.0021016,.001179,-.0005153,.0001796,.0001274,-.000206,.0001686,-.000069,.0026287,-.0003148
930,.014964,-.0013175,-.0097253,.0005601,.0005192,.001492,-.0006477,.0001072,.0002076,-.000118,.0001119,-.0000885,.0064924,-.0004274
931,.0133114,.0002572,-.0053165,.0031172,.0012018,-.0040728,-.0005386,.0001024,.0001048,-.0001985,.0000945,.0001675,.0084983,-.0002679
932,.0109885,-.0033059,-.0042239,.0007583,.0013882,-.0020295,-.0004712,.00012,.0000928,-.0001571,.0000815,.0000515,.0035759,-.0002825
933,.0132735,-.0000594,-.0063407,-.0004227,-.0016055,-.0012312,-.0004615,1.78e-06,.0002291,-.0000822,.0000587,.0000427,.003614,-.0002116
934,.0210039,-.0046488,-.00778,-.0036171,.0015211,.0030335,-.0008046,.0002221,.0002071,-.0000264,.0000774,-.0000341,.0095125,-.0003584
935,.0088183,-.001316,-.0073412,.0000852,-.0035666,-.0027575,-.0004161,.0001128,.0001658,-.0001041,.0001261,.0000345,-.0060778,-.000081
936,.0074132,-.009272,-.0075854,-.0070933,-.0058552,.0135472,-.0003795,.0002393,.0002036,.0000457,.0002918,-.0004014,-.0088455,-4.52e-07
937,.0053034,-.0032724,-.0087769,.0051476,.0017147,.0041793,-.0002314,.0002003,.0002299,-.0001979,.0000965,-.0002479,.0042956,-.0001504
938,.0066224,-.003981,-.005475,.0013898,-.0009854,.0054498,-.0003265,.0002888,.0001465,-.0001811,.0002201,-.0002811,.0030207,-.0001332
939,.0118829,-.0024416,-.006707,.0010676,-.0046875,.0055836,-.0005839,.0001545,.000108,-.0002089,.0002553,-.0002154,.004698,-.0004905
940,.0088499,-.0041161,-.0067193,-.0024841,-.0004548,-.002048,-.0004381,.0001757,.0001066,5.69e-06,.0000868,.0001084,-.0069724,.0000452
941,.0064279,-.0113681,-.0114759,-.0022145,-.0029712,.0125432,-.0003111,.0003669,.0002896,-.0001133,.000152,-.0003669,-.0090586,.0000171
942,.0098606,-.0068983,-.0105865,.0034683,-.0028722,.0053732,-.0005957,.000297,.0002282,-.0002289,.0002486,-.0001648,-.0016549,-.0002157
943,.0092716,-.0109231,-.0066032,-.001657,-.0019585,.0063561,-.0004156,.0005082,.0001777,-.0001583,.0001292,-.0002223,-.0055141,.000019
944,.0068586,-.008719,-.0038913,-.0015377,-.0071769,.0055273,-.0003686,.0003727,.0000684,-.0000901,.0003518,-.0002051,-.0089391,.000129
945,.0087658,-.0044405,-.0064824,-.0050341,-.0024464,.0010542,-.0005076,.0003419,.0000927,.0001262,.0001821,-.0000349,-.0085835,.0002004
