Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.17,-.23,-.08,-.15,-.09,-.20,-.17,-.09,-.14,-.23,-.21,-.17,-.16,***,***,-.11,-.15,-.19
1881,-.19,-.13,.04,.06,.07,-.18,.01,-.02,-.14,-.21,-.17,-.06,-.08,-.08,-.16,.06,-.06,-.17
1882,.17,.15,.05,-.16,-.14,-.22,-.15,-.06,-.13,-.23,-.15,-.35,-.10,-.08,.09,-.08,-.14,-.17
1883,-.28,-.36,-.11,-.17,-.16,-.07,-.05,-.13,-.20,-.10,-.22,-.10,-.16,-.18,-.33,-.15,-.08,-.18
1884,-.12,-.06,-.35,-.40,-.33,-.35,-.31,-.26,-.26,-.24,-.33,-.30,-.28,-.26,-.10,-.36,-.31,-.28
1885,-.58,-.33,-.26,-.41,-.45,-.43,-.33,-.31,-.28,-.23,-.23,-.10,-.33,-.35,-.40,-.37,-.36,-.25
1886,-.43,-.50,-.43,-.28,-.24,-.34,-.17,-.30,-.23,-.27,-.26,-.25,-.31,-.30,-.34,-.31,-.27,-.26
1887,-.71,-.56,-.35,-.34,-.30,-.24,-.25,-.34,-.25,-.35,-.25,-.32,-.36,-.35,-.51,-.33,-.28,-.28
1888,-.33,-.35,-.41,-.20,-.22,-.17,-.10,-.15,-.11,.02,.03,-.04,-.17,-.19,-.34,-.27,-.14,-.02
1889,-.08,.18,.06,.10,.00,-.10,-.07,-.20,-.24,-.25,-.33,-.28,-.10,-.08,.02,.05,-.12,-.27
1890,-.41,-.44,-.39,-.29,-.39,-.24,-.27,-.38,-.36,-.24,-.43,-.31,-.35,-.34,-.38,-.36,-.30,-.34
1891,-.33,-.47,-.18,-.27,-.16,-.20,-.17,-.17,-.15,-.21,-.30,-.04,-.22,-.24,-.37,-.20,-.18,-.22
1892,-.28,-.10,-.40,-.33,-.23,-.22,-.31,-.27,-.16,-.13,-.41,-.37,-.27,-.24,-.14,-.32,-.27,-.23
1893,-.80,-.56,-.22,-.26,-.33,-.25,-.14,-.25,-.22,-.18,-.18,-.31,-.31,-.31,-.58,-.27,-.21,-.19
1894,-.51,-.28,-.22,-.44,-.30,-.40,-.23,-.23,-.27,-.22,-.25,-.20,-.30,-.31,-.37,-.32,-.29,-.25
1895,-.40,-.42,-.32,-.21,-.27,-.20,-.16,-.17,-.12,-.10,-.16,-.14,-.22,-.23,-.34,-.27,-.18,-.13
1896,-.21,-.12,-.26,-.30,-.15,-.11,-.02,-.05,-.06,.07,-.04,-.04,-.11,-.11,-.16,-.24,-.06,-.01
1897,-.15,-.16,-.13,-.02,-.01,-.11,-.02,-.09,-.08,-.12,-.18,-.19,-.10,-.09,-.12,-.05,-.07,-.13
1898,-.01,-.29,-.50,-.30,-.29,-.18,-.21,-.25,-.20,-.33,-.37,-.23,-.27,-.26,-.16,-.36,-.22,-.30
1899,-.16,-.38,-.35,-.20,-.22,-.31,-.16,-.08,-.05,-.04,.13,-.26,-.17,-.17,-.26,-.26,-.18,.02
1900,-.35,-.05,.01,-.08,-.08,-.09,-.13,-.09,-.05,.10,-.06,-.06,-.08,-.09,-.22,-.05,-.10,.00
1901,-.21,-.10,.06,-.02,-.15,-.12,-.14,-.20,-.22,-.29,-.17,-.27,-.15,-.14,-.13,-.03,-.15,-.23
1902,-.17,-.06,-.28,-.28,-.32,-.29,-.28,-.29,-.29,-.28,-.35,-.41,-.28,-.26,-.17,-.29,-.29,-.31
1903,-.23,-.05,-.22,-.41,-.39,-.42,-.35,-.45,-.50,-.48,-.42,-.50,-.37,-.36,-.23,-.34,-.41,-.47
1904,-.63,-.57,-.48,-.50,-.51,-.48,-.51,-.49,-.55,-.39,-.17,-.33,-.47,-.48,-.57,-.50,-.49,-.37
1905,-.35,-.59,-.22,-.34,-.29,-.28,-.26,-.20,-.19,-.25,-.07,-.13,-.26,-.28,-.42,-.28,-.25,-.17
1906,-.28,-.29,-.18,-.05,-.26,-.19,-.23,-.20,-.28,-.20,-.37,-.14,-.22,-.22,-.23,-.16,-.21,-.29
1907,-.43,-.51,-.27,-.37,-.46,-.42,-.35,-.34,-.34,-.23,-.46,-.46,-.39,-.36,-.36,-.37,-.37,-.34
1908,-.44,-.32,-.55,-.44,-.37,-.38,-.35,-.46,-.36,-.44,-.52,-.49,-.43,-.42,-.41,-.46,-.40,-.44
1909,-.72,-.46,-.54,-.59,-.54,-.51,-.45,-.33,-.38,-.39,-.31,-.56,-.48,-.48,-.56,-.56,-.43,-.36
1910,-.41,-.41,-.50,-.42,-.34,-.39,-.34,-.36,-.39,-.41,-.54,-.66,-.43,-.42,-.46,-.42,-.36,-.44
1911,-.62,-.57,-.61,-.53,-.50,-.49,-.41,-.43,-.40,-.26,-.20,-.20,-.44,-.47,-.62,-.55,-.44,-.29
1912,-.24,-.14,-.37,-.17,-.21,-.23,-.42,-.54,-.57,-.57,-.38,-.43,-.36,-.34,-.19,-.25,-.40,-.51
1913,-.40,-.45,-.42,-.39,-.43,-.45,-.36,-.33,-.34,-.32,-.19,-.02,-.34,-.38,-.42,-.42,-.38,-.28
1914,.05,-.09,-.24,-.29,-.21,-.25,-.23,-.16,-.16,-.03,-.15,-.04,-.15,-.15,-.02,-.24,-.21,-.11
1915,-.20,-.03,-.09,.07,-.06,-.22,-.12,-.22,-.20,-.24,-.12,-.22,-.14,-.12,-.09,-.03,-.18,-.19
1916,-.12,-.14,-.28,-.30,-.34,-.49,-.37,-.28,-.36,-.32,-.46,-.81,-.36,-.31,-.16,-.31,-.38,-.38
1917,-.57,-.63,-.63,-.55,-.55,-.43,-.25,-.22,-.23,-.44,-.34,-.68,-.46,-.47,-.67,-.58,-.30,-.34
1918,-.48,-.34,-.25,-.44,-.43,-.37,-.32,-.32,-.17,-.06,-.11,-.29,-.30,-.33,-.50,-.38,-.33,-.12
1919,-.20,-.24,-.21,-.12,-.27,-.36,-.29,-.32,-.25,-.19,-.41,-.42,-.27,-.26,-.25,-.20,-.32,-.28
1920,-.24,-.26,-.12,-.24,-.27,-.36,-.30,-.26,-.21,-.26,-.26,-.46,-.27,-.27,-.31,-.21,-.31,-.24
1921,-.05,-.17,-.23,-.30,-.30,-.27,-.14,-.25,-.18,-.03,-.14,-.18,-.19,-.21,-.23,-.27,-.22,-.12
1922,-.33,-.44,-.15,-.23,-.33,-.32,-.28,-.33,-.36,-.32,-.15,-.19,-.29,-.28,-.32,-.24,-.31,-.28
1923,-.28,-.39,-.34,-.40,-.33,-.30,-.31,-.33,-.31,-.14,-.02,-.05,-.27,-.28,-.28,-.36,-.31,-.16
1924,-.23,-.24,-.08,-.31,-.18,-.26,-.29,-.36,-.32,-.35,-.21,-.43,-.27,-.24,-.17,-.19,-.30,-.30
1925,-.39,-.40,-.28,-.25,-.29,-.33,-.26,-.20,-.20,-.17,.04,.05,-.22,-.26,-.41,-.28,-.26,-.11
1926,.20,.03,.11,-.12,-.24,-.25,-.28,-.13,-.14,-.11,-.07,-.30,-.11,-.08,.09,-.08,-.22,-.11
1927,-.27,-.18,-.39,-.31,-.25,-.28,-.19,-.24,-.13,-.01,-.06,-.33,-.22,-.22,-.25,-.32,-.24,-.07
1928,-.02,-.09,-.25,-.28,-.30,-.39,-.19,-.23,-.22,-.19,-.09,-.17,-.20,-.21,-.15,-.28,-.27,-.17
1929,-.45,-.59,-.33,-.42,-.38,-.44,-.37,-.33,-.26,-.14,-.11,-.54,-.36,-.33,-.40,-.38,-.38,-.17
1930,-.30,-.27,-.11,-.25,-.25,-.23,-.22,-.15,-.16,-.12,.17,-.06,-.16,-.20,-.37,-.20,-.20,-.04
1931,-.11,-.22,-.11,-.23,-.20,-.09,-.04,-.04,-.07,.04,-.06,-.06,-.10,-.10,-.13,-.18,-.06,-.03
1932,.15,-.17,-.18,-.06,-.17,-.29,-.26,-.22,-.11,-.09,-.27,-.26,-.16,-.14,-.03,-.14,-.26,-.16
1933,-.23,-.29,-.30,-.24,-.29,-.34,-.22,-.24,-.30,-.25,-.31,-.45,-.29,-.27,-.26,-.27,-.27,-.29
1934,-.21,-.02,-.29,-.31,-.10,-.15,-.10,-.12,-.15,-.07,.03,-.02,-.12,-.16,-.23,-.23,-.12,-.06
1935,-.33,.14,-.14,-.37,-.29,-.27,-.21,-.22,-.22,-.06,-.26,-.17,-.20,-.19,-.07,-.27,-.23,-.18
1936,-.27,-.38,-.21,-.20,-.17,-.22,-.10,-.13,-.09,-.03,.02,-.01,-.15,-.16,-.28,-.19,-.15,-.04
1937,-.07,.03,-.21,-.15,-.05,-.05,-.04,.02,.09,.09,.08,-.07,-.03,-.02,-.02,-.14,-.02,.09
1938,.08,.03,.09,.06,-.10,-.17,-.09,-.06,.00,.15,.08,-.13,.00,.00,.01,.02,-.11,.08
1939,-.05,-.07,-.18,-.09,-.04,-.07,-.06,-.06,-.07,-.04,.07,.43,-.02,-.07,-.08,-.11,-.06,-.01
1940,.00,.08,.09,.17,.11,.11,.12,.07,.15,.11,.16,.31,.12,.13,.17,.12,.10,.14
1941,.18,.31,.10,.16,.17,.13,.21,.15,.02,.35,.22,.21,.18,.19,.27,.14,.16,.20
1942,.29,.02,.05,.09,.11,.04,.00,-.04,-.03,.01,.10,.12,.06,.07,.18,.08,.00,.03
1943,-.01,.17,-.03,.11,.07,-.05,.08,.01,.05,.23,.20,.24,.09,.08,.10,.05,.01,.16
1944,.36,.24,.26,.19,.19,.15,.18,.18,.28,.26,.11,.04,.20,.22,.28,.21,.17,.21
1945,.10,.00,.06,.19,.05,.00,.03,.26,.20,.18,.07,-.07,.09,.10,.04,.10,.10,.15
1946,.15,.02,.01,.05,-.07,-.21,-.12,-.20,-.08,-.08,-.05,-.31,-.07,-.05,.04,.00,-.18,-.07
1947,-.07,-.08,.06,.06,-.02,-.02,-.04,-.07,-.13,.07,.03,-.13,-.03,-.04,-.15,.03,-.04,-.01
1948,.06,-.15,-.25,-.12,-.01,-.05,-.11,-.12,-.15,-.05,-.12,-.24,-.11,-.10,-.07,-.12,-.09,-.11
1949,.07,-.14,-.02,-.11,-.10,-.27,-.13,-.13,-.15,-.07,-.10,-.18,-.11,-.12,-.10,-.08,-.18,-.10
1950,-.26,-.27,-.08,-.21,-.11,-.05,-.09,-.16,-.11,-.20,-.34,-.21,-.17,-.17,-.24,-.13,-.10,-.22
1951,-.34,-.41,-.20,-.14,.00,-.07,-.01,.06,.05,.08,-.01,.16,-.07,-.10,-.32,-.12,.00,.04
1952,.11,.11,-.08,.03,-.03,-.03,.04,.05,.07,.00,-.13,-.02,.01,.03,.13,-.02,.02,-.02
1953,.08,.15,.11,.19,.12,.12,.01,.05,.04,.08,-.03,.05,.08,.08,.07,.14,.06,.03
1954,-.24,-.10,-.14,-.14,-.20,-.19,-.19,-.17,-.10,-.02,.08,-.18,-.13,-.11,-.10,-.16,-.18,-.01
1955,.13,-.16,-.32,-.22,-.20,-.14,-.11,.02,-.11,-.05,-.25,-.28,-.14,-.13,-.07,-.25,-.08,-.14
1956,-.13,-.24,-.21,-.28,-.29,-.16,-.09,-.26,-.19,-.23,-.15,-.06,-.19,-.21,-.22,-.26,-.17,-.19
1957,-.09,-.03,-.05,.00,.09,.15,.02,.15,.09,.01,.07,.15,.05,.03,-.06,.01,.11,.06
1958,.39,.22,.08,.01,.06,-.09,.05,-.05,-.02,.04,.02,.01,.06,.07,.25,.05,-.03,.01
1959,.08,.07,.18,.16,.04,.03,.03,-.01,-.06,-.07,-.08,.00,.03,.03,.05,.13,.02,-.07
1960,.00,.13,-.35,-.15,-.08,-.04,-.04,.02,.07,.06,-.11,.19,-.03,-.04,.04,-.19,-.02,.00
1961,.07,.19,.09,.13,.12,.11,.01,.01,.09,.00,.03,-.16,.06,.09,.15,.12,.04,.04
1962,.05,.15,.10,.05,-.06,.03,.02,-.01,.00,.01,.06,-.03,.03,.02,.01,.03,.01,.02
1963,-.03,.18,-.14,-.07,-.06,.05,.06,.22,.18,.15,.15,-.03,.05,.06,.04,-.09,.11,.16
1964,-.09,-.10,-.21,-.32,-.25,-.04,-.04,-.22,-.29,-.32,-.21,-.30,-.20,-.18,-.07,-.26,-.10,-.27
1965,-.08,-.17,-.13,-.19,-.12,-.08,-.13,-.04,-.15,-.05,-.06,-.08,-.11,-.13,-.18,-.15,-.09,-.09
1966,-.19,-.04,.04,-.13,-.12,.01,.08,-.09,-.03,-.17,-.01,-.03,-.06,-.06,-.10,-.07,.00,-.07
1967,-.08,-.21,.05,-.05,.12,-.08,.02,.01,-.06,.09,-.05,-.05,-.02,-.02,-.10,.04,-.02,-.01
1968,-.25,-.14,.20,-.06,-.14,-.09,-.13,-.09,-.19,.09,-.05,-.14,-.08,-.07,-.15,.00,-.10,-.05
1969,-.11,-.18,.01,.17,.18,.03,-.04,.04,.09,.09,.12,.24,.05,.02,-.14,.12,.01,.10
1970,.08,.22,.06,.05,-.04,-.03,.01,-.10,.12,.03,.02,-.12,.03,.06,.18,.02,-.04,.05
1971,-.03,-.16,-.18,-.07,-.05,-.17,-.08,-.01,-.06,-.04,-.07,-.09,-.08,-.09,-.10,-.10,-.08,-.06
1972,-.22,-.18,.02,.00,-.03,.04,.01,.16,.02,.08,.02,.18,.01,-.01,-.16,.00,.07,.04
1973,.29,.33,.29,.27,.23,.19,.13,.05,.09,.10,.05,-.07,.16,.18,.26,.26,.12,.08
1974,-.10,-.27,-.05,-.11,-.04,-.05,-.03,.11,-.07,-.06,-.08,-.08,-.07,-.07,-.14,-.07,.01,-.07
1975,.10,.08,.12,.04,.16,-.01,-.01,-.17,-.03,-.11,-.17,-.17,-.01,-.01,.03,.11,-.06,-.10
1976,-.03,-.06,-.21,-.07,-.20,-.12,-.10,-.12,-.06,-.24,-.06,.11,-.10,-.12,-.09,-.16,-.11,-.12
1977,.18,.22,.24,.26,.33,.27,.20,.18,.02,.03,.16,.03,.18,.18,.17,.28,.22,.07
1978,.06,.10,.19,.17,.09,-.01,.04,-.13,.06,.03,.14,.08,.07,.06,.06,.15,-.04,.08
1979,.08,-.10,.19,.15,.04,.14,.04,.17,.25,.26,.28,.48,.16,.13,.02,.13,.11,.26
1980,.30,.39,.30,.30,.35,.20,.22,.18,.20,.13,.30,.21,.26,.28,.39,.31,.20,.21
1981,.52,.42,.48,.32,.25,.29,.32,.35,.15,.12,.23,.41,.32,.31,.39,.35,.32,.17
1982,.05,.16,.03,.15,.18,.06,.14,.04,.14,.13,.18,.42,.14,.14,.20,.12,.08,.15
1983,.53,.43,.42,.28,.34,.23,.18,.36,.37,.17,.30,.17,.31,.33,.46,.34,.26,.28
1984,.31,.14,.26,.06,.33,.02,.19,.19,.21,.14,.07,-.04,.16,.17,.21,.22,.14,.14
1985,.22,-.04,.17,.12,.14,.15,.04,.17,.13,.12,.05,.14,.12,.10,.05,.15,.12,.10
1986,.26,.37,.30,.22,.21,.12,.11,.16,.03,.15,.10,.13,.18,.18,.26,.24,.13,.09
1987,.32,.43,.18,.25,.25,.35,.40,.25,.35,.33,.29,.46,.32,.29,.29,.23,.33,.32
1988,.56,.44,.52,.43,.44,.40,.33,.39,.37,.38,.12,.29,.39,.40,.49,.46,.37,.29
1989,.12,.30,.36,.29,.17,.17,.34,.33,.35,.29,.19,.37,.27,.27,.24,.27,.28,.28
1990,.41,.44,.80,.56,.45,.38,.46,.34,.23,.45,.47,.41,.45,.45,.41,.60,.39,.38
1991,.43,.50,.35,.51,.34,.53,.47,.39,.44,.29,.29,.32,.41,.41,.44,.40,.46,.34
1992,.47,.40,.48,.27,.31,.26,.09,.08,-.01,.06,.02,.21,.22,.23,.40,.35,.14,.03
1993,.35,.37,.36,.28,.29,.23,.25,.11,.12,.23,.04,.18,.23,.24,.31,.31,.20,.13
1994,.26,.03,.29,.41,.28,.44,.30,.22,.32,.42,.44,.38,.32,.30,.16,.33,.32,.39
1995,.52,.79,.47,.47,.27,.43,.45,.45,.34,.48,.44,.26,.45,.46,.57,.40,.45,.42
1996,.24,.46,.33,.32,.28,.25,.37,.48,.25,.20,.39,.37,.33,.32,.32,.31,.37,.28
1997,.30,.41,.52,.34,.34,.54,.34,.42,.52,.61,.65,.59,.47,.45,.36,.40,.44,.59
1998,.59,.88,.63,.64,.68,.77,.66,.66,.42,.42,.43,.55,.61,.61,.69,.65,.70,.42
1999,.49,.64,.32,.32,.27,.36,.38,.32,.39,.34,.38,.41,.39,.40,.56,.30,.36,.37
2000,.25,.56,.55,.56,.36,.40,.39,.42,.38,.28,.31,.29,.40,.41,.41,.49,.40,.32
2001,.46,.44,.56,.51,.58,.52,.59,.50,.52,.51,.73,.56,.54,.52,.40,.55,.54,.58
2002,.77,.79,.88,.58,.64,.53,.61,.53,.63,.54,.59,.44,.63,.64,.71,.70,.56,.59
