Model,Scenario,whose,prtp,eta,scc
REMIND-MAGPIE,SSP5-Baseline,independent,0.01,1.0,61.743552172705
REMIND-MAGPIE,SSP5-Baseline,independent,0.01,2.0,21.277562743824102
REMIND-MAGPIE,SSP5-Baseline,average,0.01,1.0,439.14334417843907
REMIND-MAGPIE,SSP5-Baseline,average,0.01,2.0,3504.5089818388606
REMIND-MAGPIE,SSP5-Baseline,poorest,0.01,1.0,2.289196810780562
REMIND-MAGPIE,SSP5-Baseline,poorest,0.01,2.0,0.09523154542775943
REMIND-MAGPIE,SSP5-Baseline,independent,0.02,1.0,31.095830428760973
REMIND-MAGPIE,SSP5-Baseline,independent,0.02,2.0,13.202586591172881
REMIND-MAGPIE,SSP5-Baseline,average,0.02,1.0,217.82535849092963
REMIND-MAGPIE,SSP5-Baseline,average,0.02,2.0,2257.367415107686
REMIND-MAGPIE,SSP5-Baseline,poorest,0.02,1.0,1.1354951010300454
REMIND-MAGPIE,SSP5-Baseline,poorest,0.02,2.0,0.061341713961358624
